Classe	Sobrevivente	Sexo	Idade	Nome
3	0	M	9	Boulos,Miss.Nourelain
2	1	H	29	Portaluppi,Mr.EmilioIlarioGiuseppe
2	1	H	31	Wilhelms,Mr.Charles
1	1	M	36	Carter,Mrs.WilliamErnest(LucilePolk)
3	1	H	22	Leeni,Mr.Fahim("PhilipZenni")
3	0	H	7	Panula,Master.JuhaNiilo
3	0	H	20	Pekoniemi,Mr.Edvard
2	1	M	36	Becker,Mrs.AllenOliver(NellieEBaumgardner)
3	0	M	30	Lindell,Mrs.EdvardBengtsson(ElinGerdaPersson)
1	1	M	22	Pears,Mrs.Thomas(EdithWearne)
3	0	H	19	Crease,Mr.ErnestJames
3	0	M	29	Palsson,Mrs.Nils(AlmaCorneliaBerglund)
3	0	H	26	Ford,Mr.Arthur
3	0	M	21	Jussila,Miss.MariAina
3	0	H	48	Jensen,Mr.NielsPeder
2	1	M	28	Abelson,Mrs.Samuel(HannahWizosky)
2	0	H	36	Navratil,Mr.Michel("LouisMHoffman")
2	1	M	50	Parrish,Mrs.(LutieDavis)
1	1	M	21	Ryerson,Miss.SusanParker"Suzette"
3	1	M	14	Nicola-Yarred,Miss.Jamila
3	0	H	26	Mernagh,Mr.Robert
1	1	M	45	Gibson,Mrs.Leonard(PaulineCBoeson)
3	0	M	9	Ford,Miss.RobinaMaggie"Ruby"
2	0	M	45	Carter,Mrs.ErnestCourtenay(LilianHughes)
3	0	H	42	Hansen,Mr.ClausPeter
1	1	M	39	Silvey,Mrs.WilliamBaird(AliceMunger)
3	1	H	31	Bing,Mr.Lee
3	0	H	17	Dika,Mr.Mirko
3	0	H	25	Sage,Mr.JohnGeorge
1	0	H	47	Moore,Mr.ClarenceBloomfield
1	0	H	47	Porter,Mr.WalterChamberlain
1	0	H	49	Case,Mr.HowardBrown
2	0	H	27	Bracken,Mr.JamesH
3	1	M	5	Baclini,Miss.MarieCatherine
3	0	H	26	Fox,Mr.Patrick
1	0	H	19	Fortune,Mr.CharlesAlexander
3	0	M	25	Peters,Miss.Katie
3	0	H	27	Wirz,Mr.Albert
2	1	M	7	Hart,Miss.EvaMiriam
2	1	H	29	Portaluppi,Mr.EmilioIlarioGiuseppe
1	0	H	44	Lewy,Mr.ErvinG
3	0	H	29	Christmann,Mr.Emil
3	1	H	26	Albimona,Mr.NassefCassem
3	1	M	20	Howard,Miss.MayElizabeth
2	1	M	18	Doling,Miss.Elsie
3	0	H	25	Dantcheff,Mr.Ristiu
3	0	H	25	Balkic,Mr.Cerin
3	1	M	20	Jermyn,Miss.Annie
1	1	M	22	Gibson,Miss.DorothyWinifred
1	1	M	29	Bird,Miss.Ellen
3	0	H	37	Rekic,Mr.Tido
2	1	H	41	Hosono,Mr.Masabumi
3	0	H	24	Salander,Mr.KarlJohan
1	1	M	20	Bishop,Mrs.DickinsonH(HelenWalton)
2	0	H	16	Gaskell,Mr.Alfred
3	0	H	24	Colbert,Mr.Patrick
1	1	M	60	Bucknell,Mrs.WilliamRobert(EmmaElizaWard)
3	0	H	26	O'Connell,Mr.PatrickD
3	0	H	26	Kilgannon,Mr.ThomasJ
1	0	H	28	Carrau,Mr.FranciscoM
3	0	H	1	Goodwin,Master.SidneyLeonard
3	0	H	22	Naidenoff,Mr.Penko
3	0	H	17	Elias,Mr.JosephJr
1	0	H	17	Carrau,Mr.JosePedro
1	0	H	50	Silvey,Mr.WilliamBaird
2	1	M	7	Hart,Miss.EvaMiriam
2	0	M	29	Chapman,Mrs.JohnHenry(SaraElizabethLawry)
2	0	H	18	Davies,Mr.CharlesHenry
3	0	H	6	Boulos,Master.Akar
3	0	H	33	Johansson,Mr.GustafJoel
2	1	M	27	Troutt,Miss.EdwinaCelia"Winnie"
3	0	H	28	Carlsson,Mr.AugustSigfrid
2	1	M	17	Lehmann,Miss.Bertha
3	1	M	19	Andersen-Jensen,Miss.CarlaChristineNielsine
2	1	M	55	Hewlett,Mrs.(MaryDKingcome)
1	1	M	23	Fortune,Miss.AliceElizabeth
3	0	M	37	Klasen,Mrs.(HuldaKristinaEugeniaLofqvist)
3	0	M	2	Strom,Miss.TelmaMatilda
3	0	H	35	Rintamaki,Mr.Matti
1	0	H	37	Compton,Mr.AlexanderTaylorJr
3	1	M	24	Sandstrom,Mrs.Hjalmar(AgnesCharlottaBengtsson)
3	0	H	27	Slocovski,Mr.SelmanFrancis
3	0	M	26	O'Donoghue,Ms.Bridget
3	0	H	27	Moore,Mr.LeonardCharles
2	0	H	31	Collyer,Mr.Harvey
2	1	H	23	Oxenham,Mr.PercyThomas
2	1	H	0	Caldwell,Master.AldenGates
3	0	H	40	Everett,Mr.ThomasJames
3	1	M	17	Abelseth,Miss.KarenMarie
3	1	M	20	Mullens,Miss.Katherine"Katie"
1	1	H	27	Hassab,Mr.Hammad
3	0	H	17	Calic,Mr.Petar
1	1	M	22	Pears,Mrs.Thomas(EdithWearne)
3	1	M	4	Kink-Heilmann,Miss.LuiseGretchen
3	0	H	26	Zakarian,Mr.Mapriededer
1	1	M	63	Andrews,Miss.KorneliaTheodosia
3	0	H	26	Lennon,Mr.Denis
3	0	H	35	Cor,Mr.Bartol
1	1	M	32	Wilson,Miss.HelenAlice
1	0	H	20	White,Mr.RichardFrasar
3	0	H	25	Sage,Master.ThomasHenry
1	1	M	40	Spedden,Mrs.FredericOakley(MargarettaCorningStone)
3	0	H	21	Hansen,Mr.HenryDamsgaard
2	0	H	36	Navratil,Mr.Michel("LouisMHoffman")
3	0	H	40	Asplund,Mr.CarlOscarVilhelmGustafsson
1	1	M	39	Thayer,Mrs.JohnBorland(MarianLongstrethMorris)
2	1	M	33	West,Mrs.EdwyArthur(AdaMaryWorth)
3	0	H	26	Foley,Mr.William
3	0	H	25	Ali,Mr.William
3	0	H	27	Thomas,Mr.Tannous
2	1	M	2	Quick,Miss.PhyllisMay
2	0	H	35	Slemen,Mr.RichardJames
1	1	H	80	Barkworth,Mr.AlgernonHenryWilson
3	0	H	27	Miles,Mr.Frank
1	0	H	56	Smart,Mr.JohnMontgomery
1	0	H	48	Thayer,Mr.JohnBorland
3	0	M	16	Attalah,Miss.Malake
3	0	H	27	Smiljanic,Mr.Mile
3	0	M	30	Mangan,Miss.Mary
3	1	H	26	Andersson,Mr.AugustEdvard("Wennerstrom")
2	0	H	18	Andrew,Mr.EdgardoSamuel
1	0	H	25	Giglio,Mr.Victor
3	0	H	25	McNamee,Mr.Neal
2	0	H	44	Harbeck,Mr.WilliamH
3	0	H	40	Farrell,Mr.James
3	1	H	21	Mamee,Mr.Hanna
1	1	M	36	Crosby,Miss.HarrietR
2	0	H	40	Morley,Mr.HenrySamuel("MrHenryMarshall")
3	0	H	27	VandeWalle,Mr.NestorCyriel
3	0	H	26	Reed,Mr.JamesGeorge
2	0	H	27	Bracken,Mr.JamesH
2	0	H	27	Bracken,Mr.JamesH
1	1	H	35	Lesurer,Mr.GustaveJ
3	0	H	24	Augustsson,Mr.Albert
3	0	H	22	Sirayanian,Mr.Orsen
3	0	H	33	Stankovic,Mr.Ivan
1	1	H	56	Simonius-Blumer,Col.OberstAlfons
3	1	M	19	Peter,Miss.Anna
3	1	M	0	Dean,Miss.ElizabethGladys"Millvina"
1	1	H	48	Harper,Mr.HenrySleeper
3	0	H	13	Abbott,Master.EugeneJoseph
3	0	H	31	Tomlin,Mr.ErnestPortage
2	0	H	33	Parkes,Mr.Francis"Frank"
3	0	H	47	VanderCruyssen,Mr.Victor
3	0	H	26	Ford,Mr.Arthur
3	0	M	26	Ilmakangas,Miss.PietaSofia
3	0	H	27	O'Connor,Mr.Maurice
2	1	M	54	Hocking,Mrs.Elizabeth(ElizaNeeds)
2	0	H	26	Pulbaum,Mr.Franz
3	1	H	4	Johnson,Master.HaroldTheodor
3	0	H	74	Svensson,Mr.Johan
1	0	H	63	Fortune,Mr.Mark
2	0	H	38	Gale,Mr.Harry
3	0	H	65	Duane,Mr.Frank
1	1	M	48	Ryerson,Mrs.ArthurLarned(EmilyMariaBorie)
1	1	H	39	Bradley,Mr.George("GeorgeArthurBrayton")
3	0	H	33	Johnson,Mr.MalkolmJoackim
3	0	H	26	Murdlin,Mr.Joseph
3	0	H	27	Guest,Mr.Robert
3	0	H	20	Andreasson,Mr.PaulEdvin
2	1	M	25	Shelley,Mrs.William(ImanitaParrishHall)
3	0	H	24	Aronsson,Mr.ErnstAxelAlgot
2	0	H	39	Meyer,Mr.August
2	1	M	19	Phillips,Miss.KateFlorence("MrsKateLouisePhillipsMarshall")
2	0	H	28	Parker,Mr.CliffordRichard
2	0	H	61	Lingane,Mr.John
1	1	H	48	Harper,Mr.HenrySleeper
3	0	H	33	Karlsson,Mr.JuliusKonradEugen
3	1	M	20	Madigan,Miss.Margaret"Maggie"
3	0	H	22	Barton,Mr.DavidJohn
2	0	H	20	Swane,Mr.George
2	1	M	21	Bryhl,Miss.DagmarJennyIngeborg
2	0	H	31	Collyer,Mr.Harvey
3	0	H	18	Myhrman,Mr.PehrFabianOliverMalkolm
2	1	M	4	Wells,Miss.Joan
3	0	M	26	Henry,Miss.Delia
1	1	H	36	Cardeza,Mr.ThomasDrakeMartinez
1	0	H	50	Silvey,Mr.WilliamBaird
1	1	H	38	Salomon,Mr.AbrahamL
3	0	H	24	Augustsson,Mr.Albert
3	1	M	20	Kelly,Miss.Mary
1	0	M	25	Allison,Mrs.HudsonJC(BessieWaldoDaniels)
3	0	H	7	Rice,Master.Eric
3	0	H	22	Kalvik,Mr.JohannesHalvorsen
3	0	H	22	Stanley,Mr.EdwardRoland
3	0	H	7	Panula,Master.JuhaNiilo
1	1	M	42	Bidois,Miss.Rosalie
3	1	H	21	Mamee,Mr.Hanna
3	1	M	33	Backstrom,Mrs.KarlAlfred(MariaMathildaGustafsson)
2	0	H	40	Faunthorpe,Mr.Harry
3	0	H	35	Kelly,Mr.James
3	1	M	21	Ohman,Miss.Velin
1	0	H	67	Straus,Mr.Isidor
2	1	H	27	PadroyManent,Mr.Julian
1	0	H	39	Cumings,Mr.JohnBradley
1	1	M	36	Chaudanson,Miss.Victorine
2	1	M	30	Renouf,Mrs.PeterHenry(LillianJefferys)
3	0	H	27	O'Connor,Mr.Patrick
1	1	M	37	Young,Miss.MarieGrice
2	0	H	30	Harris,Mr.Walter
3	1	M	20	Thorneycroft,Mrs.Percival(FlorenceKateWhite)
3	0	H	27	Flynn,Mr.John
1	1	M	27	Barber,Miss.Ellen"Nellie"
3	1	M	4	Sandstrom,Miss.MargueriteRut
1	0	H	22	Ringhini,Mr.Sante
1	0	H	37	Natsch,Mr.CharlesH
3	1	M	21	Mockler,Miss.HelenMary"Ellie"
3	0	H	36	VanImpe,Mr.JeanBaptiste
3	0	M	25	Sage,Miss.ConstanceGladys
2	1	M	3	Becker,Miss.MarionLouise
1	0	H	44	Harrington,Mr.CharlesH
1	1	M	22	Fortune,Miss.MabelHelen
1	1	H	35	Flynn,Mr.JohnIrwin("Irving")
1	1	M	22	Fortune,Miss.MabelHelen
1	1	M	48	Ryerson,Mrs.ArthurLarned(EmilyMariaBorie)
2	1	H	29	Portaluppi,Mr.EmilioIlarioGiuseppe
3	0	H	26	Saade,Mr.JeanNassr
3	0	H	25	Gallagher,Mr.Martin
3	0	H	25	Gallagher,Mr.Martin
3	0	M	26	Lefebre,Mrs.Frank(Frances)
2	1	M	19	Beane,Mrs.Edward(EthelClarke)
2	0	H	39	Otter,Mr.Richard
3	0	H	28	Novel,Mr.Mansouer
3	0	H	26	McMahon,Mr.Martin
1	0	H	44	Hoyt,Mr.WilliamFisher
3	1	M	35	Abbott,Mrs.Stanton(RosaHunt)
3	0	M	26	Caram,Mrs.Joseph(MariaElias)
2	0	H	25	Sobey,Mr.SamuelJamesHayden
2	0	H	40	Faunthorpe,Mr.Harry
2	0	M	26	Lahtinen,Mrs.William(AnnaSylfven)
3	0	H	40	Everett,Mr.ThomasJames
3	0	H	26	O'Connell,Mr.PatrickD
1	0	H	28	OviesyRodriguez,Mr.Servando
1	1	H	48	Anderson,Mr.Harry
3	0	H	44	Torber,Mr.ErnstWilliam
1	1	M	24	Hays,Miss.MargaretBechstein
1	1	H	38	Saalfeld,Mr.Adolphe
1	1	M	21	Willard,Miss.Constance
3	0	H	19	Beavan,Mr.WilliamThomas
3	1	M	20	Moussa,Mrs.(MantouraBoulos)
1	0	H	17	Carrau,Mr.JosePedro
3	1	H	21	Mamee,Mr.Hanna
2	0	H	18	Bailey,Mr.PercyAndrew
1	1	H	48	Harper,Mr.HenrySleeper
3	0	H	9	Goodwin,Master.HaroldVictor
2	0	H	31	deBrito,Mr.JoseJoaquim
3	0	M	45	Skoog,Mrs.William(AnnaBernhardinaKarlsson)
1	0	H	55	Rothschild,Mr.Martin
1	0	H	38	Graham,Mr.GeorgeEdward
3	1	H	19	Hee,Mr.Ling
1	0	H	45	Stewart,Mr.AlbertA
3	1	M	47	Wilkes,Mrs.James(EllenNeeds)
3	1	M	1	Nakid,Miss.Maria("Mary")
2	0	H	54	Carter,Rev.ErnestCourtenay
2	0	H	23	Richard,Mr.Emile
3	1	M	30	Osman,Mrs.Mara
2	1	M	27	DuranyMore,Miss.Asuncion
2	1	H	29	Portaluppi,Mr.EmilioIlarioGiuseppe
3	0	M	28	Henriksson,Miss.JennyLovisa
1	1	M	35	Bissette,Miss.Amelia
3	0	H	26	Thomas,Mr.John
1	1	M	59	Warren,Mrs.FrankManley(AnnaSophiaAtkinson)
1	1	M	54	Eustis,Miss.ElizabethMussey
2	0	H	29	Turpin,Mr.WilliamJohnRobert
2	0	H	56	Kirkland,Rev.CharlesLeonard
3	0	M	18	Arnold-Franchi,Mrs.Josef(JosefineFranchi)
3	1	M	16	Thomas,Mrs.Alexander(Thamine"Thelma")
3	0	H	28	Carlsson,Mr.AugustSigfrid
1	1	H	45	Spedden,Mr.FredericOakley
3	0	H	19	Stoytcheff,Mr.Ilia
2	1	M	2	Quick,Miss.PhyllisMay
3	0	H	22	Charters,Mr.David
3	0	M	16	Hagardon,Miss.Kate
1	0	H	62	Wright,Mr.George
1	1	M	35	Geiger,Miss.Amalie
3	1	M	45	Hansen,Mrs.ClausPeter(JennieLHoward)
3	0	M	9	Boulos,Miss.Nourelain
1	0	H	31	Roebling,Mr.WashingtonAugustusII
3	0	H	26	Flynn,Mr.James
3	0	H	27	Smith,Mr.Thomas
2	1	H	41	Hosono,Mr.Masabumi
3	0	M	26	Lefebre,Mrs.Frank(Frances)
1	1	M	52	Stephenson,Mrs.WalterBertram(MarthaEustis)
3	0	H	25	Harmer,Mr.Abraham(DavidLishin)
3	0	H	33	Stankovic,Mr.Ivan
3	0	M	26	Lennon,Miss.Mary
3	1	M	2	Hirvonen,Miss.HildurE
3	0	H	24	Celotti,Mr.Francesco
3	0	H	22	Kalvik,Mr.JohannesHalvorsen
3	0	M	29	Palsson,Mrs.Nils(AlmaCorneliaBerglund)
2	1	M	22	Cook,Mrs.(SelenaRogers)
3	1	H	32	Jussila,Mr.Eiriik
3	1	M	21	O'Dwyer,Miss.Ellen"Nellie"
2	0	H	43	Phillips,Mr.EscottRobert
3	0	H	27	Moutal,Mr.RahaminHaim
3	0	H	22	Karlsson,Mr.NilsAugust
2	1	H	19	Mellors,Mr.WilliamJohn
2	0	H	39	Veal,Mr.James
3	0	H	27	Toufik,Mr.Nakli
2	1	M	28	Abelson,Mrs.Samuel(HannahWizosky)
1	1	H	35	Homer,Mr.Harry("MrEHaven")
2	0	H	33	Pernot,Mr.Rene
1	0	H	56	Hipkins,Mr.WilliamEdward
1	1	M	48	Frolicher-Stehli,Mrs.Maxmillian(MargarethaEmerentiaStehli)
2	0	H	31	Wheeler,Mr.Edwin"Frederick"
2	0	H	34	Keane,Mr.Daniel
1	1	H	30	Mock,Mr.PhilippEdmund
1	1	H	43	Frauenthal,Mr.IsaacGerald
3	1	M	24	Baclini,Mrs.Solomon(LatifaQurban)
3	0	H	7	Panula,Master.JuhaNiilo
1	1	M	43	Robert,Mrs.EdwardScott(ElisabethWaltonMcMillan)
3	0	H	27	Webber,Mr.James
3	0	H	37	Cacic,Mr.Luka
2	0	H	21	Hickman,Mr.StanleyGeorge
3	0	M	16	Hagardon,Miss.Kate
3	0	H	27	Maisner,Mr.Simon
3	0	M	28	Danbom,Mrs.ErnstGilbert(AnnaSigridMariaBrogren)
1	1	M	39	Kreuchen,Miss.Emilie
2	1	M	34	Garside,Miss.Ethel
3	0	H	25	Petersen,Mr.Marius
3	0	H	30	Attalah,Mr.Sleiman
2	0	H	23	Pain,Dr.Alfred
3	0	H	25	Lievens,Mr.ReneAime
1	1	H	42	Kimball,Mr.EdwinNelsonJr
3	0	M	27	Ilmakangas,Miss.IdaLivija
1	1	H	30	Mock,Mr.PhilippEdmund
3	1	M	17	Cribb,Miss.LauraAlice
3	0	H	25	Sage,Mr.JohnGeorge
2	0	H	53	Moraweck,Dr.Ernest
2	0	H	41	Peruschitz,Rev.JosephMaria
1	0	H	40	Harrison,Mr.William
1	0	M	50	Isham,Miss.AnnElizabeth
3	1	H	21	Midtsjo,Mr.KarlAlbert
3	1	M	1	Sandstrom,Miss.BeatriceIrene
1	1	M	38	Flegenheim,Mrs.Alfred(Antoinette)
3	1	H	25	Sap,Mr.Julius
3	0	M	31	Olsson,Miss.Elina
2	0	H	32	Frost,Mr.AnthonyWood"Archie"
3	0	M	2	Rosblom,Miss.SalliHelena
1	1	M	35	Harris,Mrs.HenryBirkhardt(IreneWallach)
3	0	H	27	Andersson,Mr.JohanSamuel
2	1	M	36	Becker,Mrs.AllenOliver(NellieEBaumgardner)
3	1	H	21	Mamee,Mr.Hanna
1	1	M	24	Aubart,Mme.LeontinePauline
3	1	H	21	Ryan,Mr.Edward
3	0	H	19	Petroff,Mr.Nedelio
2	1	M	34	Doling,Mrs.JohnT(AdaJuliaBone)
3	0	M	18	Hegarty,Miss.Hanora"Nora"
1	1	H	28	Bjornstrom-Steffansson,Mr.MauritzHakan
3	0	H	27	Shellard,Mr.FrederickWilliam
3	0	H	20	Vendel,Mr.OlofEdvin
3	0	H	26	Saade,Mr.JeanNassr
2	0	H	31	Wheeler,Mr.Edwin"Frederick"
3	0	H	26	Simmons,Mr.John
3	0	M	22	Kink,Miss.Maria
3	0	H	26	Sage,Mr.GeorgeJohnJr
3	0	H	26	Ford,Mr.Arthur
3	0	H	26	McEvoy,Mr.Michael
3	0	H	27	Emir,Mr.FarredChehab
2	0	H	23	Ware,Mr.WilliamJeffery
3	0	M	16	Hagardon,Miss.Kate
3	1	M	19	Peter,Mrs.Catherine(CatherineRizk)
1	1	M	48	DuffGordon,Lady.(LucilleChristianaSutherland)("MrsMorgan")
3	1	H	21	Kennedy,Mr.John
1	0	H	67	Straus,Mr.Isidor
3	1	H	22	Vartanian,Mr.David
2	0	H	25	Sedgwick,Mr.CharlesFrederickWaddington
3	1	M	31	Goldsmith,Mrs.FrankJohn(EmilyAliceBrown)
2	1	M	24	Herman,Miss.Kate
3	0	H	27	Cor,Mr.Ivan
1	1	M	63	Andrews,Miss.KorneliaTheodosia
3	0	H	24	Celotti,Mr.Francesco
2	1	H	32	Beane,Mr.Edward
3	1	M	4	Sandstrom,Miss.MargueriteRut
1	1	M	37	Taylor,Mrs.ElmerZebley(JulietCumminsWright)
2	0	H	18	Fillbrook,Mr.JosephCharles
1	1	M	30	Bonnell,Miss.Caroline
2	0	H	40	Morley,Mr.HenrySamuel("MrHenryMarshall")
3	0	M	18	Arnold-Franchi,Mrs.Josef(JosefineFranchi)
2	0	H	30	Abelson,Mr.Samuel
3	0	H	27	vanBilliard,Master.JamesWilliam
2	1	M	25	Herman,Miss.Alice
2	0	H	46	McKane,Mr.PeterDavid
1	1	H	48	Anderson,Mr.Harry
3	0	H	27	Lyntakoff,Mr.Stanko
1	1	M	38	Taussig,Mrs.Emil(TillieMandelbaum)
3	0	H	26	Murdlin,Mr.Joseph
3	0	H	13	Abbott,Master.EugeneJoseph
3	0	H	27	Cor,Mr.Ivan
1	1	M	59	Brown,Mrs.JohnMurray(CarolineLaneLamson)
3	1	M	16	Yasbeck,Mrs.Antoni(SeliniAlexander)
1	1	M	20	Newsom,Miss.HelenMonypeny
2	0	H	18	Andrew,Mr.EdgardoSamuel
3	1	M	22	Landergren,Miss.AuroraAdelia
1	0	H	40	Farthing,Mr.John
2	0	H	50	Hodges,Mr.HenryPrice
3	1	H	9	Olsen,Master.ArturKarl
3	0	H	27	Rogers,Mr.WilliamJohn
2	1	M	29	Faunthorpe,Mrs.Lizzie(ElizabethAnneWilkinson)
3	0	H	59	Coxon,Mr.Daniel
3	1	M	0	Dean,Miss.ElizabethGladys"Millvina"
2	1	M	3	Laroche,Miss.SimonneMarieAnneAndree
3	0	H	35	Markoff,Mr.Marin
3	0	H	26	Angheloff,Mr.Minko
2	1	M	15	Brown,Miss.EdithEileen
1	1	H	28	Bjornstrom-Steffansson,Mr.MauritzHakan
2	0	H	30	Aldworth,Mr.CharlesAugustus
2	0	H	47	Gilbert,Mr.William
2	0	H	28	Collander,Mr.ErikGustaf
3	0	H	35	Brocklebank,Mr.WilliamAlfred
3	0	H	25	Sutehall,Mr.HenryJr
3	0	H	14	Goodwin,Mr.CharlesEdward
3	0	H	27	Moore,Mr.LeonardCharles
3	0	H	20	Baccos,Mr.Raffull
3	0	H	51	Green,Mr.GeorgeHenry
1	0	H	40	Robbins,Mr.Victor
3	0	H	26	Petroff,Mr.Pastcho("Pentcho")
2	0	H	27	Weisz,Mr.Leopold
3	0	H	27	Mionoff,Mr.Stoytcho
1	1	M	51	Lines,Mrs.ErnestH(ElizabethLindseyJames)
2	0	H	30	Lahtinen,Rev.William
3	0	M	26	Henry,Miss.Delia
2	0	H	24	Gill,Mr.JohnWilliam
3	0	H	25	Gallagher,Mr.Martin
